CNTR_CODE,NUTS_ID,NUTS_NAME,Panel A
DE,DE725,Vogelsbergkreis,0
DE,DE731,"Kassel,",75.29069355
DE,DE732,Fulda,0
DE,DE929,Region,74.99326231
DE,DE931,Celle,83.17346838
DE,DE11A,Schwäbisch,0
DE,DE11B,Main-Tauber-Kreis,72.50945681
DE,DE11C,Heidenheim,0
DE,DE11D,Ostalbkreis,0
DE,DE121,"Baden-Baden,",0
DE,DE122,"Karlsruhe,",89.79297313
DE,DE123,"Karlsruhe,",102.2836564
DE,DE124,Rastatt,108.3674123
DE,DE125,"Heidelberg,",73.93655308
DE,DE126,"Mannheim,",86.79955242
DE,DE127,Neckar-Odenwald-Kreis,92.12452943
DE,DE128,Rhein-Neckar-Kreis,93.67022864
DE,DE129,"Pforzheim,",95.16836547
DE,DE12A,Calw,0
DE,DE12B,Enzkreis,103.8435978
DE,DE12C,Freudenstadt,0
DE,DE131,Freiburg,0
DE,DE132,Breisgau-Hochschwarzwald,112.3016436
DE,DE133,Emmendingen,117.5940286
DE,DE134,Ortenaukreis,137.0638703
DE,DE135,Rottweil,0
DE,DE136,Schwarzwald-Baar-Kreis,0
DE,DE137,Tuttlingen,0
DE,DE138,Konstanz,89.57482628
DE,DE139,Lörrach,95.35729916
DE,DE13A,Waldshut,101.9864618
DE,DE141,Reutlingen,96.00495911
DE,DE142,"Tübingen,",96.00495178
DE,DE143,Zollernalbkreis,0
DE,DE144,"Ulm,",82.30720576
DE,DE145,Alb-Donau-Kreis,106.7910026
DE,DE146,Biberach,127.7244664
DE,DE147,Bodenseekreis,87.04936976
DE,DE148,Ravensburg,88.3551668
DE,DE149,Sigmaringen,0
DE,DE211,"Ingolstadt,",104.4029619
DE,DE212,"München,",45.82782661
DE,DE213,"Rosenheim,",115.1564679
DE,DE214,Altötting,102.8273607
DE,DE215,Berchtesgadener,81.72716029
DE,DE216,Bad,57.95153484
DE,DE217,Dachau,0
DE,DE218,Ebersberg,0
DE,DE219,Eichstätt,92.59194137
DE,DE21A,Erding,63.3317517
DE,DE21B,Freising,60.50286059
DE,DE21C,Fürstenfeldbruck,0
DE,DE21D,Garmisch-Partenkirchen,0
DE,DE21E,Landsberg,0
DE,DE21F,Miesbach,0
DE,DE21G,Mühldorf,109.8298307
DE,DE21H,"München,",52.72342285
DE,DE21I,Neuburg-Schrobenhausen,103.4265093
DE,DE21J,Pfaffenhofen,95.51747937
DE,DE21K,"Rosenheim,",109.3343408
DE,DE21L,Starnberg,0
DE,DE21M,Traunstein,84.05197613
DE,DE21N,Weilheim-Schongau,0
DE,DE221,"Landshut,",130.7018348
DE,DE222,"Passau,",83.69831285
DE,DE223,"Straubing,",86.32940183
DE,DE224,Deggendorf,88.15986615
DE,DE225,Freyung-Grafenau,0
DE,DE226,Kelheim,85.50248363
DE,DE227,"Landshut,",131.5278919
DE,DE228,"Passau,",97.4886732
DE,DE229,Regen,0
DE,DE22A,Rottal-Inn,128.9039253
DE,DE22B,Straubing-Bogen,85.97826455
DE,DE22C,Dingolfing-Landau,130.804894
DE,DE231,"Amberg,",94.48295692
DE,DE232,"Regensburg,",70.94306048
DE,DE233,Weiden,76.72833185
CZ,CZ010,Hlavní,97.61832886
CZ,CZ020,Středočeský,189.8382071
CZ,CZ031,Jihočeský,84.25631015
CZ,CZ032,Plzeňský,142.2616856
CZ,CZ041,Karlovarský,165.0829342
CZ,CZ042,Ústecký,136.4861957
CZ,CZ051,Liberecký,217.8435977
CZ,CZ052,Královéhradecký,132.3121009
CZ,CZ053,Pardubický,195.8674515
CZ,CZ063,Kraj,41.01989704
CZ,CZ064,Jihomoravský,207.1385978
CZ,CZ071,Olomoucký,302.8312462
CZ,CZ072,Zlínský,281.5553701
CZ,CZ080,Moravskoslezský,183.3388747
DE,DE111,"Stuttgart,",73.59389746
DE,DE112,Böblingen,0
DE,DE113,Esslingen,88.36919807
DE,DE114,Göppingen,0
DE,DE115,Ludwigsburg,92.92001031
DE,DE116,Rems-Murr-Kreis,0
DE,DE117,"Heilbronn,",70.13870245
DE,DE118,"Heilbronn,",88.68010227
DE,DE119,Hohenlohekreis,0
DE,DE264,"Aschaffenburg,",73.9309148
DE,DE265,Bad,82.79236253
DE,DE266,Rhön-Grabfeld,85.94220763
DE,DE267,Haßberge,75.57217163
DE,DE268,Kitzingen,77.57161271
DE,DE269,Miltenberg,74.7958629
DE,DE26A,Main-Spessart,76.31086598
DE,DE26B,"Schweinfurt,",78.00058568
DE,DE26C,"Würzburg,",78.92162703
DE,DE271,"Augsburg,",93.46407218
DE,DE272,"Kaufbeuren,",0
DE,DE273,Kempten,0
DE,DE274,"Memmingen,",124.8836587
DE,DE275,Aichach-Friedberg,103.4991003
DE,DE276,"Augsburg,",102.6446772
DE,DE277,Dillingen,84.31959495
DE,DE278,Günzburg,103.9748938
DE,DE279,Neu-Ulm,117.8733336
DE,DE27A,Lindau,0
DE,DE27B,Ostallgäu,0
DE,DE27C,Unterallgäu,124.8840088
DE,DE27D,Donau-Ries,95.59054108
DE,DE27E,Oberallgäu,0
DE,DE300,Berlin,80.59354581
DE,DE401,Brandenburg,97.52430962
DE,DE402,"Cottbus,",62.44703156
DE,DE403,Frankfurt,115.1199092
DE,DE404,"Potsdam,",96.32978236
DE,DE405,Barnim,102.9194072
DE,DE406,Dahme-Spreewald,64.64360016
DE,DE407,Elbe-Elster,96.59061054
DE,DE408,Havelland,95.45447255
DE,DE409,Märkisch-Oderland,23.97905517
DE,DE40A,Oberhavel,115.6762321
DE,DE234,Amberg-Sulzbach,94.48297147
DE,DE235,Cham,62.46606389
DE,DE236,Neumarkt,0
DE,DE237,Neustadt,91.46227579
DE,DE238,"Regensburg,",64.44351315
DE,DE239,Schwandorf,88.92503307
DE,DE23A,Tirschenreuth,0
DE,DE241,"Bamberg,",87.63184159
DE,DE242,"Bayreuth,",0
DE,DE243,"Coburg,",0
DE,DE244,"Hof,",0
DE,DE245,"Bamberg,",86.21706743
DE,DE246,"Bayreuth,",0
DE,DE247,"Coburg,",0
DE,DE248,Forchheim,93.55459889
DE,DE249,"Hof,",0
DE,DE24A,Kronach,-66.4198258
DE,DE24B,Kulmbach,-5.1388262
DE,DE24C,Lichtenfels,4.979682734
DE,DE24D,Wunsiedel,0
DE,DE251,"Ansbach,",0
DE,DE252,"Erlangen,",95.14243243
DE,DE253,"Fürth,",74.67312531
DE,DE254,"Nürnberg,",89.63362891
DE,DE255,"Schwabach,",92.5926945
DE,DE256,"Ansbach,",70.61211523
DE,DE257,Erlangen-Höchstadt,91.10038776
DE,DE258,"Fürth,",72.3281145
DE,DE259,Nürnberger,0
DE,DE25A,Neustadt,0
DE,DE25B,Roth,103.3703927
DE,DE25C,Weißenburg-Gunzenhausen,71.1552153
DE,DE261,"Aschaffenburg,",75.98623026
DE,DE262,"Schweinfurt,",78.16220327
DE,DE263,"Würzburg,",61.55731362
DE,DE932,Cuxhaven,65.8534252
DE,DE933,Harburg,69.69585884
DE,DE934,Lüchow-Dannenberg,74.70851409
DE,DE935,"Lüneburg,",72.15589629
DE,DE936,Osterholz,60.77479083
DE,DE937,Rotenburg,73.71165749
DE,DE938,Heidekreis,0
DE,DE939,Stade,85.2263348
DE,DE93A,Uelzen,74.99977012
DE,DE93B,Verden,69.65339752
DE,DE941,"Delmenhorst,",67.84308559
DE,DE942,"Emden,",98.33193534
DE,DE943,Oldenburg,52.88852901
DE,DE944,"Osnabrück,",0
DE,DE945,"Wilhelmshaven,",92.56232124
DE,DE946,Ammerland,71.54495094
DE,DE947,Aurich,99.62509698
DE,DE948,Cloppenburg,58.50775265
DE,DE949,Emsland,54.33821109
DE,DE94A,Friesland,90.24482229
DE,DE94B,Grafschaft,117.9946219
DE,DE94C,Leer,70.48605177
DE,DE94D,"Oldenburg,",63.33120851
DE,DE94E,"Osnabrück,",58.0741418
DE,DE94F,Vechta,49.85599399
DE,DE94G,Wesermarsch,64.61446691
DE,DE94H,Wittmund,89.18637366
DE,DEA11,"Düsseldorf,",60.68352254
DE,DEA12,"Duisburg,",61.56716943
DE,DEA13,"Essen,",69.27764459
DE,DEA14,"Krefeld,",57.36301682
DE,DE733,Hersfeld-Rotenburg,73.49261041
DE,DE734,"Kassel,",78.06216544
DE,DE735,Schwalm-Eder-Kreis,97.2758947
DE,DEA53,"Hagen,",64.81313862
DE,DEA54,"Hamm,",76.57572625
DE,DEA55,"Herne,",0
DE,DEA56,Ennepe-Ruhr-Kreis,71.0419879
DE,DEA57,Hochsauerlandkreis,79.63319456
DE,DEA58,Märkischer,79.21790765
DE,DEA59,Olpe,0
DE,DEA5A,Siegen-Wittgenstein,0
DE,DEA5B,Soest,75.93456189
DE,DEA5C,Unna,76.39665365
DE,DEB11,"Koblenz,",83.50242177
DE,DEB12,Ahrweiler,82.97786723
DE,DEB13,Altenkirchen,27.36557766
DE,DEB14,Bad,88.42068655
DE,DEB15,Birkenfeld,0
DE,DEB17,Mayen-Koblenz,82.40664683
DE,DEB18,Neuwied,79.90502641
DE,DEB1A,Rhein-Lahn-Kreis,80.40709425
DE,DEB1B,Westerwaldkreis,0
DE,DEB1C,Cochem-Zell,0
DE,DEB1D,Rhein-Hunsrück-Kreis,0
DE,DEB21,"Trier,",82.70234833
DE,DEB22,Bernkastel-Wittlich,0
DE,DEB23,Eifelkreis,0
DE,DEB24,Vulkaneifel,0
DE,DEB25,Trier-Saarburg,82.91652876
DE,DEB31,Frankenthal,95.49588428
DE,DEB32,"Kaiserslautern,",0
DE,DEB33,Landau,0
DE,DEB34,Ludwigshafen,86.00793816
DE,DEB35,"Mainz,",82.40788121
DE,DEB36,Neustadt,0
DE,DEB37,"Pirmasens,",0
DE,DEB38,"Speyer,",100.436557
DE,DEB39,"Worms,",96.17006884
DE,DEB3A,"Zweibrücken,",90.71854276
DE,DEB3B,Alzey-Worms,96.05630766
DE,DEB3C,Bad,0
DE,DEB3D,Donnersbergkreis,0
DE,DEB3E,Germersheim,104.0809049
DE,DEB3F,"Kaiserslautern,",0
DE,DEB3G,Kusel,0
DE,DEB3H,Südliche,0
DE,DEB3I,Rhein-Pfalz-Kreis,91.29906491
DE,DEB3J,Mainz-Bingen,85.89927895
DE,DEB3K,Südwestpfalz,0
DE,Dec-01,Regionalverband,95.24002287
DE,Dec-02,Merzig-Wadern,117.4921344
DE,Dec-03,Neunkirchen,0
DE,Dec-04,Saarlouis,119.9937785
DE,Dec-05,Saarpfalz-Kreis,0
DE,Dec-06,St.,0
DE,DED21,"Dresden,",64.8178926
DE,DED2C,Bautzen,79.78332455
DE,DED2D,Görlitz,58.64174217
DE,DED2E,Meißen,80.63810073
DE,DED2F,Sächsische,82.46867889
DE,DED41,"Chemnitz,",0
DE,DED42,Erzgebirgskreis,0
DE,DED43,Mittelsachsen,52.02040489
DE,DED44,Vogtlandkreis,0
DE,DED45,Zwickau,47.46690744
DE,DED51,"Leipzig,",53.85702143
DE,DED52,Leipzig,47.59866722
DE,DED53,Nordsachsen,53.11069854
DE,DEE01,"Dessau-Roßlau,",63.85673369
DE,DEE02,Halle,61.19917594
DE,DEE03,"Magdeburg,",60.42447719
DE,DEE04,Altmarkkreis,58.08410717
DE,DEE05,Anhalt-Bitterfeld,41.39437108
DE,DEE06,Jerichower,43.9867227
DE,DEE07,Börde,45.18900472
DE,DEE08,Burgenlandkreis,23.9935205
DE,DEG0E,Hildburghausen,0
DE,DEG0F,Ilm-Kreis,0
DE,DEG0G,Weimarer,0
DE,DEG0H,Sonneberg,0
DE,DEG0I,Saalfeld-Rudolstadt,-30.1423943
DE,DEG0J,Saale-Holzland-Kreis,-21.58385824
DE,DEG0K,Saale-Orla-Kreis,0
DE,DEG0L,Greiz,36.00605934
DE,DEG0M,Altenburger,0
DE,DEG0N,"Eisenach,",17.76482091
DE,DEG0P,Wartburgkreis,17.43945249
DK,DK011,Byen,203.2146454
DK,DK012,Københavns,142.5595056
DK,DK013,Nordsjælland,147.2024352
DK,DK014,Bornholm,139.8381021
DK,DK021,Østsjælland,142.7450069
DK,DK022,Vest-,92.72582595
DK,DK031,Fyn,82.8757598
DK,DK032,Sydjylland,103.7902337
DK,DK041,Vestjylland,109.0435679
DK,DK042,Østjylland,145.4756709
DK,DK050,Nordjylland,132.1050836
EE,EE001,Põhja-Eesti,96.95508349
EE,EE004,Lääne-Eesti,203.6267168
EE,EE009,Kesk-Eesti,67.15954886
EE,EE00A,Kirde-Eesti,371.6486501
EE,EE008,Lõuna-Eesti,253.0316127
EL,EL301,Βόρειος,0
EL,EL302,Δυτικός,91.25036182
EL,EL303,Κεντρικός,92.38903985
EL,EL304,Νότιος,99.52161435
EL,EL305,Ανατολική,119.1817232
EL,EL306,Δυτική,0
EL,EL307,"Πειραιάς,",112.0870683
EL,EL411,"Λέσβος,",81.36227702
EL,EL412,"Ικαρία,",0
EL,EL413,Χίος,0
EL,EL421,"Κάλυμνος,",93.02373299
EL,EL422,"Άνδρος,",86.85824027
EL,EL431,Ηράκλειο,0
EL,EL432,Λασίθι,86.85819114
EL,EL433,Ρέθυμνο,86.85827795
EL,EL434,Χανιά,86.85836452
EL,EL511,Έβρος,115.2712569
EL,EL512,Ξάνθη,130.5513426
EL,EL513,Ροδόπη,162.4477262
EL,EL514,Δράμα,129.5430803
EL,EL515,"Θάσος,",129.6677492
EL,EL521,Ημαθία,-48.93471498
EL,EL522,Θεσσαλονίκη,-2.092291837
EL,EL523,Κιλκίς,-4.669971999
DE,DEA15,"Mönchengladbach,",0
DE,DEE09,Harz,0
DE,DEE0A,Mansfeld-Südharz,69.69923465
DE,DEE0B,Saalekreis,71.21668963
DE,DEE0C,Salzlandkreis,47.17981076
DE,DEE0D,Stendal,68.25077603
DE,DEE0E,Wittenberg,56.01219098
DE,DEF01,"Flensburg,",0
DE,DEF02,"Kiel,",80.15446748
DE,DEF03,"Lübeck,",81.10242244
DE,DEF04,"Neumünster,",0
DE,DEF05,Dithmarschen,87.0254174
DE,DEF06,Herzogtum,76.89031743
DE,DEF07,Nordfriesland,79.84889557
DE,DEF08,Ostholstein,80.59691145
DE,DEF09,Pinneberg,73.18451935
DE,DEF0A,Plön,80.27746246
DE,DEF0B,Rendsburg-Eckernförde,85.85870348
DE,DEF0C,Schleswig-Flensburg,80.27743153
DE,DEF0D,Segeberg,64.84361832
DE,DEF0E,Steinburg,91.68540542
DE,DEF0F,Stormarn,95.38496748
DE,DEG01,"Erfurt,",7.528374851
DE,DEG02,"Gera,",41.80980562
DE,DEG03,"Jena,",-18.49917614
DE,DEG04,"Suhl,",0
DE,DEG05,"Weimar,",0
DE,DEG06,Eichsfeld,17.76522353
DE,DEG07,Nordhausen,18.0930546
DE,DEG09,Unstrut-Hainich-Kreis,0
DE,DEG0A,Kyffhäuserkreis,22.45492986
DE,DEG0B,Schmalkalden-Meiningen,17.76482135
DE,DEG0C,Gotha,0
DE,DEG0D,Sömmerda,5.522821164
DE,DEA16,Mülheim,63.76669099
DE,DEA17,"Oberhausen,",49.95460668
DE,DEA18,"Remscheid,",0
DE,DEA19,"Solingen,",0
DE,DEA1A,"Wuppertal,",0
DE,DEA1B,Kleve,65.62349572
DE,DEA1C,Mettmann,58.90791072
DE,DEA1D,Rhein-Kreis,59.18184225
DE,DEA1E,Viersen,0
DE,DEA1F,Wesel,61.08465361
DE,DEA22,"Bonn,",68.7511971
DE,DEA23,"Köln,",58.22862759
DE,DEA24,"Leverkusen,",52.22064128
DE,DEA26,Düren,43.6673575
DE,DEA27,Rhein-Erft-Kreis,66.36728031
DE,DEA28,Euskirchen,0
DE,DEA29,Heinsberg,-7.815302633
DE,DEA2A,Oberbergischer,0
DE,DEA2B,Rheinisch-Bergischer,0
DE,DEA2C,Rhein-Sieg-Kreis,47.75643809
DE,DEA2D,Städteregion,0
DE,DEA31,"Bottrop,",0
DE,DEA32,"Gelsenkirchen,",-30.49366939
DE,DEA33,"Münster,",0
DE,DEA34,Borken,0
DE,DEA35,Coesfeld,76.44370297
DE,DEA36,Recklinghausen,70.25531426
DE,DEA37,Steinfurt,76.29067302
DE,DEA38,Warendorf,0
DE,DEA41,"Bielefeld,",0
DE,DEA42,Gütersloh,33.33220971
DE,DEA43,Herford,44.68753629
DE,DEA44,Höxter,79.0662793
DE,DEA45,Lippe,47.17926306
DE,DEA46,Minden-Lübbecke,65.76027229
DE,DEA47,Paderborn,75.04512648
DE,DEA51,"Bochum,",69.17194591
DE,DEA52,"Dortmund,",69.07881347
FI,FI1C4,Kymenlaakso,98.05366068
FI,FI1C5,Etelä-Karjala,201.6960295
FI,FI1D1,Etelä-Savo,208.5699696
FI,FI1D2,Pohjois-Savo,247.4388413
FI,FI1D3,Pohjois-Karjala,59.71878071
FI,FI1D5,Keski-Pohjanmaa,325.0268328
FI,FI1D7,Lappi,135.9124016
FI,FI1D8,Kainuu,260.1217237
FI,FI1D9,Pohjois-Pohjanmaa,370.3236819
FI,FI200,Åland,361.5151106
FR,FR101,Paris,69.07308782
EL,EL524,Πέλλα,-58.25987571
FI,FI193,Keski-Suomi,176.6121206
FI,FI194,Etelä-Pohjanmaa,202.4153647
FI,FI195,Pohjanmaa,642.1414697
FI,FI196,Satakunta,341.886587
FI,FI197,Pirkanmaa,273.1496116
FI,FI1B1,Helsinki-Uusimaa,75.2416119
FI,FI1C1,Varsinais-Suomi,62.51556338
FI,FI1C2,Kanta-Häme,340.9775219
FI,FI1C3,Päijät-Häme,117.6760715
EL,EL642,Εύβοια,119.1809242
EL,EL643,Ευρυτανία,-83.78151548
EL,EL644,Φθιώτιδα,-33.76430981
EL,EL645,Φωκίδα,3.834986729
EL,EL651,"Αργολίδα,",167.5169107
EL,EL652,Κορινθία,119.1815948
EL,EL653,"Λακωνία,",28.41699266
ES,ES111,A,52.65884133
ES,ES112,Lugo,37.78098543
ES,ES113,Ourense,39.62425985
ES,ES114,Pontevedra,69.80578919
ES,ES120,Asturias,117.8401408
ES,ES130,Cantabria,-45.93502547
ES,ES211,Araba/Álava,-3.100956193
ES,ES212,Gipuzkoa,26.99861256
ES,ES213,Bizkaia,-42.529407
ES,ES220,Navarra,38.76126475
ES,ES230,La,1.803136691
ES,ES241,Huesca,-24.90530276
ES,ES242,Teruel,65.74532248
ES,ES243,Zaragoza,-19.15643857
ES,ES300,Madrid,36.5245629
ES,ES411,Ávila,245.1024406
ES,ES412,Burgos,12.28120276
ES,ES413,León,46.03095821
ES,ES414,Palencia,31.90404823
ES,ES415,Salamanca,-10.62966034
ES,ES416,Segovia,21.07803781
ES,ES417,Soria,135.9387948
ES,ES418,Valladolid,66.89392003
ES,ES419,Zamora,10.87026081
EL,EL525,Πιερία,70.56220842
EL,EL526,Σέρρες,180.010971
EL,EL527,Χαλκιδική,129.8238574
EL,EL531,"Γρεβενά,",-33.77678248
EL,EL532,Καστοριά,109.8840458
EL,EL533,Φλώρινα,-29.88434983
EL,EL541,"Άρτα,",-81.80067219
EL,EL542,Θεσπρωτία,122.8651185
EL,EL543,Ιωάννινα,0
EL,EL611,"Καρδίτσα,",97.21193097
EL,EL612,Λάρισα,119.3690135
EL,EL613,"Μαγνησία,",96.20827259
EL,EL621,Ζάκυνθος,-15.82413417
EL,EL622,Κέρκυρα,132.9741253
EL,EL623,"Ιθάκη,",6.50983255
EL,EL624,Λευκάδα,-82.58425528
EL,EL631,Αιτωλοακαρνανία,-79.12909689
EL,EL632,Αχαΐα,5.958922518
EL,EL633,Ηλεία,-8.00419877
EL,EL641,Βοιωτία,119.181778
ES,ES531,Eivissa,86.41651497
ES,ES532,Mallorca,75.17210523
ES,ES533,Menorca,75.77543944
ES,ES611,Almería,83.2330174
ES,ES612,Cádiz,62.72904195
ES,ES613,Córdoba,84.89541962
ES,ES614,Granada,-30.76331595
ES,ES615,Huelva,47.0725021
ES,ES616,Jaén,106.5657389
ES,ES617,Málaga,15.19576057
ES,ES618,Sevilla,14.49502134
ES,ES620,Murcia,85.91422645
ES,ES630,Ceuta,0
ES,ES640,Melilla,72.5726452
HU,HU321,Hajdú-Bihar,125.5951293
HU,HU322,Jász-Nagykun-Szolnok,38.78289008
ES,ES421,Albacete,91.66366363
ES,ES422,Ciudad,76.03842473
ES,ES423,Cuenca,93.54321837
ES,ES424,Guadalajara,55.49474613
ES,ES425,Toledo,47.44757586
ES,ES431,Badajoz,3.104683257
ES,ES432,Cáceres,-6.573688518
ES,ES511,Barcelona,32.97906879
ES,ES512,Girona,-24.89406515
ES,ES513,Lleida,6.522613005
ES,ES514,Tarragona,52.85264579
ES,ES521,Alicante/Alacant,90.41027813
ES,ES522,Castellón/Castelló,121.277767
ES,ES523,Valencia/València,24.07938809
HR,HR022,Virovitičko-podravska,113.5776492
FR,FR102,Seine-et-Marne,85.21436045
FR,FR103,Yvelines,109.0297541
FR,FR104,Essonne,92.06361647
FR,FR105,Hauts-de-Seine,71.1864278
FR,FR106,Seine-Saint-Denis,69.4434746
FR,FR107,Val-de-Marne,69.78154767
FR,FR108,Val-d’Oise,97.4664991
FR,FRB01,Cher,115.0364227
FR,FRB02,Eure-et-Loir,136.9957718
FR,FRB03,Indre,67.66431306
FR,FRB04,Indre-et-Loire,106.0793785
FR,FRB05,Loir-et-Cher,120.5703201
FR,FRB06,Loiret,108.2086156
FR,FRC11,Côte-d’Or,110.2295987
FR,FRC12,Nièvre,93.63369661
FR,FRC13,Saône-et-Loire,60.48626639
FR,FRC14,Yonne,100.9011838
FR,FRC21,Doubs,111.3608471
FR,FRC22,Jura,106.8858689
