CNTR_CODE,NUTS_ID,NUTS_NAME,Panel A
DE,DE721,"Gießen,",-9.12800937
DE,DE722,Lahn-Dill-Kreis,-7.381075355
DE,DE723,Limburg-Weilburg,-6.283851206
DE,DE724,Marburg-Biedenkopf,-6.357232548
DE,DE725,Vogelsbergkreis,-4.783047734
DE,DE731,"Kassel,",-4.861429753
DE,DE732,Fulda,0
DE,DE929,Region,-6.830333225
DE,DE931,Celle,-8.94159053
DE,DE11A,Schwäbisch,0
DE,DE11B,Main-Tauber-Kreis,-4.653744448
DE,DE11C,Heidenheim,1.686260389
DE,DE11D,Ostalbkreis,0
DE,DE121,"Baden-Baden,",0
DE,DE122,"Karlsruhe,",-7.541906444
DE,DE123,"Karlsruhe,",-5.653068826
DE,DE124,Rastatt,-7.998377388
DE,DE125,"Heidelberg,",-7.883484831
DE,DE126,"Mannheim,",-5.589009835
DE,DE127,Neckar-Odenwald-Kreis,-3.121881466
DE,DE128,Rhein-Neckar-Kreis,-7.00399752
DE,DE129,"Pforzheim,",-2.601702469
DE,DE12A,Calw,0
DE,DE12B,Enzkreis,-0.353457153
DE,DE12C,Freudenstadt,-4.783043026
DE,DE131,Freiburg,0
DE,DE132,Breisgau-Hochschwarzwald,-5.693720808
DE,DE133,Emmendingen,-7.262687607
DE,DE134,Ortenaukreis,-3.902259744
DE,DE135,Rottweil,-4.783039301
DE,DE136,Schwarzwald-Baar-Kreis,0
DE,DE137,Tuttlingen,0
DE,DE138,Konstanz,0.911764126
DE,DE139,Lörrach,21.17125555
DE,DE13A,Waldshut,13.59195625
DE,DE141,Reutlingen,-1.268401125
DE,DE142,"Tübingen,",-8.495735514
DE,DE143,Zollernalbkreis,0
DE,DE144,"Ulm,",-7.231865879
DE,DE145,Alb-Donau-Kreis,-1.217871744
DE,DE146,Biberach,-0.983702896
DE,DE147,Bodenseekreis,0.883223009
DE,DE148,Ravensburg,-3.640110022
DE,DE149,Sigmaringen,1.229437586
DE,DE211,"Ingolstadt,",-11.67790033
DE,DE212,"München,",-4.893083643
DE,DE213,"Rosenheim,",-0.627745181
DE,DE214,Altötting,-2.981838864
DE,DE215,Berchtesgadener,-0.340399098
DE,DE216,Bad,-4.783035887
DE,DE217,Dachau,0
DE,DE218,Ebersberg,0
DE,DE219,Eichstätt,-3.898682916
DE,DE21A,Erding,-4.783042122
DE,DE21B,Freising,-11.10678402
DE,DE21C,Fürstenfeldbruck,0
DE,DE21D,Garmisch-Partenkirchen,0
DE,DE21E,Landsberg,0
DE,DE21F,Miesbach,0
